ulb,district,type,basis,sewage_mld,installed_stp_mld,utilised_stp_mld,gap_mld,calculated_gap,utilisation_pct,treatment_coverage_pct
Ahmedabad Municipal Corporation,Ahmedabad,MC,Calculated as per 80% of Water Supply,1280.0,1445.0,1240.0,40.0,40.0,85.81,96.88
Amod,Bharuch,RCM,Calculated as per 80% of Water Supply,1.67,3.1,0.0,1.67,1.67,0.0,0.0
Amreli,Amreli,RCM,Calculated as per 80% of Water Supply,18.46,26.2,8.5,9.96,9.96,32.44,46.05
Anand,Anand,New MC,Calculated as per 80% of Water Supply,16.08,53.0,14.5,1.58,1.5799999999999983,27.36,90.17
Anjar,Kutch,RCM,Calculated as per 80% of Water Supply,40.31,30.0,25.0,15.31,15.310000000000002,83.33,62.02
Anklav,Anand,RCM,Calculated as per 80% of Water Supply,3.4,3.6,3.4,0.0,0.0,94.44,100.0
Ankleswar,Bharuch,RCM,Calculated as per 80% of Water Supply,8.0,14.0,0.0,8.0,8.0,0.0,0.0
BARVALA,Anand,RCM,Calculated as per 80% of Water Supply,1.33,2.9,0.0,1.33,1.33,0.0,0.0
Babara,Amreli,RCM,Calculated as per 80% of Water Supply,2.44,4.0,1.5,0.94,0.94,37.5,61.48
Bagsara,Amreli,RCM,Calculated as per 80% of Water Supply,3.65,5.9,0.0,3.65,3.65,0.0,0.0
BalasInor,Mahisagar,RCM,Calculated as per 80% of Water Supply,3.79,6.5,0.0,3.79,3.79,0.0,0.0
Bantwa,Junagadh,RCM,Calculated as per 80% of Water Supply,1.7,2.6,1.7,0.0,0.0,65.38,100.0
Bardoli,Surat,RCM,Calculated as per 80% of Water Supply,8.39,11.3,0.0,8.39,8.39,0.0,0.0
Bareja,Ahmedabad,RCM,Calculated as per 80% of Water Supply,2.48,3.1,1.5,0.98,0.98,48.39,60.48
Barvada,Botad,RCM,Calculated as per 80% of Water Supply,1.33,2.9,0.0,1.33,1.33,0.0,0.0
Bavla,Ahmedabad,RCM,Calculated as per 80% of Water Supply,8.09,19.8,2.75,5.34,5.34,13.89,33.99
Bayad,Aravalli,RCM,Calculated as per 80% of Water Supply,2.1,5.07,0.0,2.1,2.1,0.0,0.0
Bhabhar,Banaskantha,RCM,Calculated as per 80% of Water Supply,2.02,3.5,0.0,2.02,2.02,0.0,0.0
Bhachau,Kutch,RCM,Calculated as per 80% of Water Supply,5.35,5.5,1.0,4.35,4.35,18.18,18.69
Bhanvad,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,2.3,3.0,0.0,2.3,2.3,0.0,0.0
Bharuch,Bharuch,RCM,Calculated as per 80% of Water Supply,34.72,29.3,0.0,34.72,34.72,0.0,0.0
Bhavnagar Municipal Corporation,Bhavnagar,MC,Calculated as per 80% of Water Supply,100.0,144.2,75.0,25.0,25.0,52.01,75.0
Bhayavadar,Rajkot,RCM,Calculated as per 80% of Water Supply,2.04,3.1,0.0,2.04,2.04,0.0,0.0
Bhuj,Kutch,RCM,Calculated as per 80% of Water Supply,30.84,23.7,2.4,28.44,28.44,10.13,7.78
Bilimora,Navsari,RCM,Calculated as per 80% of Water Supply,7.71,8.3,1.0,6.71,6.71,12.05,12.97
Boriyavi,Anand,RCM,Calculated as per 80% of Water Supply,2.28,3.3,0.0,2.28,2.28,0.0,0.0
Borsad,Anand,RCM,Calculated as per 80% of Water Supply,9.63,9.8,4.8,4.83,4.830000000000001,48.98,49.84
Botad,Botad,RCM,Calculated as per 80% of Water Supply,14.0,32.0,14.0,0.0,0.0,43.75,100.0
Chaklasi,Kheda,RCM,Calculated as per 80% of Water Supply,4.19,4.9,0.0,4.19,4.19,0.0,0.0
Chalala,Amreli,RCM,Calculated as per 80% of Water Supply,1.98,2.8,0.9,1.08,1.08,32.14,45.45
Chansma,Patan,RCM,Calculated as per 80% of Water Supply,3.1,2.5,0.0,3.1,3.1,0.0,0.0
Chhotaudepur,Chhotaudepur,RCM,Calculated as per 80% of Water Supply,4.83,5.0,1.5,3.33,3.33,30.0,31.06
Chorvad,Junagadh,RCM,Calculated as per 80% of Water Supply,1.66,3.7,1.5,0.16,0.15999999999999992,40.54,90.36
Chotila,Surendranagar,RCM,Calculated as per 80% of Water Supply,3.78,4.0,0.0,3.78,3.78,0.0,0.0
Dabhoi,Vadodara,RCM,Calculated as per 80% of Water Supply,6.02,8.96,0.0,6.02,6.02,0.0,0.0
Dahegam,Gandhinagar,RCM,Calculated as per 80% of Water Supply,7.0,7.6,7.0,0.0,0.0,92.11,100.0
Dahod,Dahod,RCM,Calculated as per 80% of Water Supply,13.25,13.7,6.0,7.25,7.25,43.8,45.28
Dakor,Kheda,RCM,Calculated as per 80% of Water Supply,5.19,4.9,0.0,5.19,5.19,0.0,0.0
Damnagar,Amreli,RCM,Calculated as per 80% of Water Supply,1.92,2.8,0.0,1.92,1.92,0.0,0.0
Deesa,Banaskantha,RCM,Calculated as per 80% of Water Supply,21.96,18.37,7.0,14.96,14.96,38.11,31.88
Devgadh bariya,Dahod,RCM,Calculated as per 80% of Water Supply,3.8,3.8,3.8,0.0,0.0,100.0,100.0
Dhandhuka,Ahmedabad,RCM,Calculated as per 80% of Water Supply,3.58,7.5,3.5,0.08,0.08000000000000007,46.67,97.77
Dhanera,Banaskantha,RCM,Calculated as per 80% of Water Supply,2.97,4.0,0.0,2.97,2.97,0.0,0.0
Dharampur,Valsad,RCM,Calculated as per 80% of Water Supply,3.28,4.1,0.0,3.28,3.28,0.0,0.0
Dhari,Amreli,RCM,Calculated as per 80% of Water Supply,,0.0,,,,,
Dholka,Ahmedabad,RCM,Calculated as per 80% of Water Supply,10.0,13.6,10.0,0.0,0.0,73.53,100.0
Dhoraji,Rajkot,RCM,Calculated as per 80% of Water Supply,6.82,12.9,0.0,6.82,6.82,0.0,0.0
Dhrangadhra,Surendranagar,RCM,Calculated as per 80% of Water Supply,8.41,11.6,8.41,0.0,0.0,72.5,100.0
Dhrol,Jamnagar,RCM,Calculated as per 80% of Water Supply,3.15,5.3,0.0,3.15,3.15,0.0,0.0
Dwarka,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,2.79,7.4,2.28,0.51,0.5100000000000002,30.81,81.72
